filelist.i.;nindivs;minncalls;maxncalls;nvars;nPCAs;HS;DS;HM;MI;Hsest;DSest;it
42.csv;16;14;14;10;10;7.100746908;0.950892857;1.167258631;3.781862295;8.578462352;0.915391819;14
43.csv;39;20;20;10;10;0.226643056;0.052564103;0.024801357;1.38173039;0.253145541;0.052786059;14
44.csv;8;15;15;10;10;2.081934218;0.541666667;0.271409072;1.185646714;1.798984694;0.566242271;14
45.csv;10;16;16;10;10;7.218720287;0.95625;1.259238563;3.113956534;7.683319765;0.976154644;14
46.csv;13;12;12;10;10;6.235083423;0.935897436;1.391553563;3.404257086;7.958780207;0.88712725;14
47.csv;7;12;12;10;10;3.46701472;0.857142857;0.596706519;2.170652226;5.436337595;0.747531956;14
48.csv;24;20;20;10;10;2.33994195;0.385416667;0.334962818;1.987887246;2.181282292;0.389609785;14
49.csv;7;16;16;10;10;1.817247185;0.696428571;0.230291208;1.585844218;3.036610213;0.552067066;14
5.csv;6;20;20;10;10;5.980269885;0.983333333;0.923769296;2.488895404;7.492059391;0.976207311;14
50.csv;6;7;7;10;10;4.724860486;0.976190476;0.751279895;2.481426346;8.221336322;0.822164919;14
6.csv;13;11;11;10;10;0.900681145;0.223776224;0.119392076;1.108346236;0.62747371;0.265043839;14
7.csv;39;5;5;10;10;5.816731971;0.620512821;1.061513663;4.113758915;5.929976752;0.617173889;14
8.csv;6;6;6;10;10;1.874435781;0.638888889;0.332404382;1.460233987;3.209233185;0.501288803;14
9.csv;15;17;17;10;10;5.138826081;0.870588235;0.875118964;3.278440622;6.76646789;0.800535587;14
1.csv;40;11;11;10;10;0.226641293;0.063636364;0.024392166;1.95742787;0.344280423;0.056604188;15
10.csv;39;12;12;10;10;9.679786369;0.963675214;1.097928587;5.106785084;10.36117252;0.944738412;15
11.csv;40;18;18;10;10;2.808254109;0.330555556;0.42689779;2.524385893;2.35601273;0.374930811;15
12.csv;22;18;18;10;10;5.146770576;0.813131313;0.79157681;3.544215575;6.576028598;0.730622179;15
13.csv;35;19;19;10;10;7.6502617;0.890225564;1.013395245;4.552768002;8.657246689;0.86369388;15
14.csv;12;15;15;10;10;8.81332408;0.994444444;1.140485615;3.554981061;8.937073916;0.994728791;15
15.csv;28;5;5;10;10;0.822075886;0.078571429;0.126811979;2.617421771;0.520612345;0.109883695;15
16.csv;36;16;16;10;10;2.300947248;0.326388889;0.285486072;2.346854341;2.266486827;0.315129005;15
17.csv;30;8;8;10;10;2.414831069;0.316666667;0.270593674;2.637589132;2.390944658;0.313735851;15
18.csv;39;5;5;10;10;7.439914533;0.784615385;1.046671541;4.568912171;8.178864309;0.756412015;15
19.csv;10;12;12;10;10;4.39357365;0.866666667;0.827054434;2.752875798;6.130183704;0.788018952;15
2.csv;32;9;9;10;10;6.719556011;0.802083333;0.804503622;4.188658411;7.521998115;0.767755115;15
20.csv;10;17;17;10;10;5.629638906;0.935294118;1.14300397;3.000460163;7.234506998;0.902216781;15
21.csv;35;19;19;10;10;0.570736755;0.111278195;0.05947454;1.432863742;0.640079467;0.096421247;15
22.csv;22;7;7;10;10;4.079866041;0.571428571;0.516323004;3.032539548;4.115524372;0.56271865;15
23.csv;32;9;9;10;10;3.191206103;0.392361111;0.581207264;2.864619777;3.004628235;0.410153707;15
24.csv;29;8;8;10;10;4.098553972;0.521551724;0.667787879;3.234260678;4.019594589;0.52739277;15
25.csv;21;20;20;10;10;8.480541913;0.954761905;0.992119847;4.168158246;9.126464008;0.934586552;15
26.csv;22;13;13;10;10;5.060794574;0.769230769;0.796834678;3.457405192;5.994129386;0.70906625;15
27.csv;26;14;14;10;10;6.672193251;0.82967033;0.761599778;3.901864072;7.213603163;0.825347274;15
28.csv;9;11;11;10;10;6.356867479;0.949494949;1.107544777;2.920564267;7.674403954;0.930127081;15
29.csv;9;10;10;10;10;4.309112017;0.911111111;0.817580725;2.77094976;7.00126781;0.778855374;15
3.csv;14;16;16;10;10;1.887504556;0.415178571;0.270014648;1.589350099;1.744437511;0.428293982;15
30.csv;35;6;6;10;10;4.044202078;0.480952381;0.771480143;3.500310402;4.186467922;0.465062808;15
31.csv;6;17;17;10;10;0.937402238;0.460784314;0.124251944;0.811959188;0.929239418;0.418808078;15
32.csv;35;6;6;10;10;7.749653096;0.847619048;1.168219766;4.534891303;8.850168969;0.796219096;15
33.csv;30;7;7;10;10;5.166450822;0.652380952;0.786467171;3.685190915;5.592595914;0.608790849;15
34.csv;22;19;19;10;10;1.018995238;0.196172249;0.126655043;1.297246496;0.890236312;0.20705683;15
35.csv;20;13;13;10;10;8.063055648;0.957692308;0.992220721;4.109400986;9.246861952;0.923247136;15
36.csv;31;13;13;10;10;7.10580809;0.873449132;0.799835297;4.368783198;8.308374552;0.828815371;15
37.csv;32;10;10;10;10;0.905250249;0.125;0.098402674;2.034726107;0.783060229;0.134072093;15
